Designator,Mid X,Mid Y,Rotation,Layer
C1,126.925,-76.6,0.0,top
C10,127.15,-81.5,0.0,top
C11,131.3,-82.575,225.0,top
C12,138.7,-70.4,270.0,top
C13,133.9,-81.9,90.0,top
C14,136.8,-75.5,0.0,top
C15,133.575,-76.325,45.0,top
C16,128.6,-87.8,180.0,top
C17,125.3,-85.3,270.0,top
C18,134.1,-71.72,270.0,top
C2,129.8,-80.8,225.0,top
C4,134.825,-77.475,45.0,top
C5,130.425,-76.275,135.0,top
C7,130.3,-81.3,225.0,top
C8,131.8,-83.075,225.0,top
C9,133.05,-75.8,45.0,top
D1,135.95,-68.0,180.0,top
FID1,131.746447,-83.879036,45.0,top
FID2,132.453553,-74.120963,45.0,top
FID3,136.979038,-78.646448,45.0,top
J1,132.025,-62.015,180.0,top
L1,136.8,-73.9,180.0,top
L2,131.0,-85.9,270.0,top
R1,138.1,-65.1,180.0,top
R10,138.3,-68.5,180.0,top
R11,126.2,-66.0,270.0,top
R2,134.05,-83.6,270.0,top
R3,125.05,-79.075,90.0,top
R4,136.7,-84.9,270.0,top
R5,133.4,-68.25,180.0,top
R6,133.6,-69.1,180.0,top
R7,134.1,-70.3,90.0,top
R8,126.2,-87.4,180.0,top
R9,126.2,-88.1,0.0,top
SW1,132.025,-97.35,180.0,top
SW2,128.0,-70.8,270.0,top
U1,132.1,-79.0,315.0,top
U3,132.0,-79.92,0.0,top
U4,128.1,-85.3,0.0,top
U5,132.3,-71.11,0.0,top
U6,136.250001,-71.0,270.0,top
Y2,127.225,-79.05,270.0,top
